2200,MOUNTING FRAME 1G MK
TC1420,CLIPS TC 14-20 PER 100 2052011  THORSMAN 2052011
TC1420B,CLIPS TC 14-20 PER 100 2052051  THORSMAN 2052051 BLACK
TC1822,CLIPS TC 18-22 PER  50 2060002  THORSMAN 2060002
TC1822B,CLIPS TC 18-22 PER  50 2060135  THORSMAN 2060135 BLACK
TC2226,CLIPS TC 22-26 PER  50 2070217  THORSMAN
TC2226B,CLIPS TC 22-26 PER  50 2070134  THORSMAN BLACK
TC24,CLIPS TC  2-4  PER 100 2101004  THORSMAN
TC35,CLIPS TC  3-5  PER 100 2011005  THORSMAN
TC46,CLIPS TC  4-6  PER 100 2111003  THORSMAN
TC57,CLIPS TC  5-7  PER 100 2022009  THORSMAN
TC58,CLIPS TC  5-8  PER 100 2116028  THORSMAN
TC610,CLIPS TC  6-10 PER 100 2126027  THORSMAN
TC710,CLIPS TC  7-10 PER 100 2032011  THORSMAN
TC710B,CLIPS TC  7-10 PER 100 2032041  THORSMAN BLACK
TC714,CLIPS TC  7-14 PER 100 2131027  THORSMAN
TC812,CLIPS TC  8-12 PER 100 2041200  THORSMAN
TC812B,CLIPS TC  8-12 PER 100 2041240  THORSMAN
TC918,CLIPS TC  9-18 PER 100 2136026  THORSMAN
TGB12,FIXING BAND 12MM 2705110 10mtr  THORSAMNS No
TGB20,FIXING BAND 20MM 2705310 25mtr  THORSMANS No
TGB25,FIXING BAND 25MM
TUB12,FIXING BAND 12MM 2704013
TUB22,FIXING BAND 22MM
BIS GOLD,HAMMER IN PLASTERBOARD FIXING  C/W 30MM SCREW 25 PER BAG
12140TBP,THROUGHBOLT M12x140mm TIMPAC  2 PER BAG
252308,GRIPIT 25mm BLUE PACK OF 8
50080VY,WOODSCREW 5x 80mm VELOCITY  BOX QUANTITY OF 200
Q04208,SPRING TOGG PLASTER BOARD M5X8  0 10 PER PACK
SWA106,STEEL WIRE ARMOUR CLIPS 2x50mm A509 25 PACK
SWA98,STEEL WIRE ARMOUR CLIPS 2x35mm A508 25 PACK
00081CPAZP,SELF TAPPER 8x1  12 PER BAG  TIMCO NO 2 BIT
00812CFAZ,SELF TAPPER 8x1/2  1000PC BOX  TIMCO FLANGE HEAD
12100TB,THROUGHBOLT M12x100mm TIMCO
12100TBP,THROUGHBOLT M12x100mm TIMPAC  2 PER BAG
12120TB,THROUGHBOLT M12x120mm TIMCO
1225LSH,RAWL BOLT LOOSE M12x105mmTIMCO
1225SNZP,SET SCREWS+NUTS M12x25mm BAG 2  TIMCO
1250SNZP,METRIC HT SET SCREW WITH NUT  M12x50 TIMPAC 2 PAC
1701B,CABLE CLEAT 10  -15MM  -100
1702B,CABLE CLEAT 12  -17MM  -100
1703B,CABLE CLEAT 15  -20MM  -100
1704B,CABLE CLEAT 18  -24MM  -100
1705B,CABLE CLEAT 22  -29MM  -50
1706B,CABLE CLEAT 26  -34MM  -50
1708B,CABLE CLEAT 39  -51MM
252304,GRIPIT 25mm BLUE PACK OF 4
40040CHYP,WOODSCREW 4.0x40mm BAG20 TIMCO
5929121045,CONCRETE BOLT M10x100mm PER 1  HEX HEAD WURTH (25)
5929128015,CONCRETE BOLT M 8x 60mm PER 1  HEX HEAD WURTH (50)
616SNZP,SET SCREWS+NUTS M 6x16mm BAG 8  TIMCO
CR219,GIRDER CLIP 2-4mm GIRD'19-24mm  CABLE
MF8100,MULTIFIX BOLT 10x100mm BAG  50  HEX HEAD TIMCO
SWA46,STEEL WIRE ARMOUR CLIPS 3x1.5 A501 25 PACK
SWA53,STEEL WIRE ARMOUR CLIPS 4x1.5 A502 25 PACK
TC25,TERRY CLIPS 25mm ZINC PLATED  TFS8 (80048-T5)
TC38,TERRY CLIPS 38mm ZINC PLATED  (80049-T8)
75161320,CLIPS TC 22-26 PER  25
75161310,CLIPS TC 10-14 PER 100
167388,TIME SWITCH 1 MODULE 24 HOUR  C/W RESERVE EATON
31031,TIME CLOCK 1 CHANNEL FLASH 6A 24HR ANALOGUE
31032,TIME CLOCK 2 CHANNEL 16A 24HR
31110,TIMECLOCK 16A 24 HOUR FLASH  NO BACK BOX
ALPHAD,TIME SWITCH 24hr 16a 1n\o 1n\c  OR ORBIS
ASTROIKT3,TIMECLOCK 7 DAY 1 CHANNEL GARO  DIN RAIL MOUNTED
BST3,IMMERSION HEATER BOOST TIMER  DIGITAL 13a 15min - 3hrs EPH
E1ZM10,ELECTRONIC TIMER 12-240v AC/DC  E1ZM10
E3ZI20,TIMER ELECTRONIC RECYCLING  TIMER  E3ZI20
EG103B,TIME CLOCK 1 CHANNEL DIGITAL  WEEKLY HAGER
EG203,TIME CLOCK 2 CHANNEL DIGITAL  DIN RAIL MOUNTED HAGER
EH010,TIME CLOCK 24hr 1 MOD DIN RAIL  MOUNTED HAGER
EH110,TIME CLOCK 24 HOUR DIN RAIL  MOUNTED HAGER
EH111,TIME CLOCK 24HR DIN RAIL MOUNT  ED WITH RESERVE HAGER
EH171,TIME CLOCK 7DAY DIN RAIL MOUNT  ED HAGER 200 HOUR RESERVE
HRN54,PHASE FAILURE RELAY 400V ELKO
IMM24F,TIME CLOCK IMERSION 16A FLUSH  MOUNTED
OPDRWF01,TIMECLOCK WIFI DIN RAIL MOUNT 2.4GHZ C\W MANUAL OVERIDE 16A
OPSBWF01,TIMECLOCK 1 CHANNEL WIFI 1 MIN SWITCH OVER RIDE 16A GE
OPSBWF02,TIMECLOCK 2 CHANNEL WIFI 1 MIN SWITCH OVERRIDE 5A PER CHAN GE
OPSBWF03,TIMECLOCK 3 CHANNEL WIFI 1 MIN SWITCH OVERRIDE 5A PER CHAN GE
OPTIPWF01,TIMECLOCK 13A PLUG IN WIFI GE
SYN160A,TIMECLOCK 1 CHANNEL ANNALOGUE  15mins 16a DIN RAIL MOUNT 1MOD
SYN161D,TIMECLOCK 1 CHANNEL ANNAOLUGE  15mins 16a DIN RAIL MOUNT 3MOD
TR610TOP3,TIMECLOCK 1 CHANNEL DIGITAL  WEEKLY 10YR BATTERY DRAIL 16A
TR612TOP3,TIMECLOCK 2 CHANNEL DIGITAL  WEEKLY 10YR BATTERY DRAIL 16A
TRT036,TIME CLOCK 2 CHANNEL DIGITAL  TIMEGUARD
TRT039,TIMECLOCK 4 CHANNEL DIGITAL  7 DAY
TRT05,TIMECLOCK 24HR DIGITAL WITH TH  ERMOSTAT TIMEGUARD 13A 230V
TV49,ELECTRONIC TIMER DC-24/48V  AC-24/230V
TV56,ELECTRONIC TIMER 24-380V AC/DC
GC2-6010,LINE SEIKI COUNTER
QE1,GRASSLIN TIME CLOCK 1 CHANNEL  DIGITAL
QE2,GRASSLIN TIME CLOCK
STBT4,TIMER FOR IMERSION BOOST TYPE  16A 5min - 2hr SURETIME
TGBT4,TIMER FOR IMERSION BOOST TYPE  16A 15min - 2hr TIMEGAURD
UNOD,TIMECLOCK 1 CHANNEL ANNALOGUE   16a DIN RAIL MOUNT 1MOD
1506453,TIME CLOCK 13A PLUG IN BRENNEN  STUHL
TG77,TIME CLOCK 13A 230V PLUG IN 7  DAY TIMEGUARD
45710,TIMECLOCK 13A PLUG IN  (24/box)
45720,TIMECLOCK 13A PLUG IN 3 PACK  (12/box)
10PTF,FUSE  10A PLUG TOP
1123081,GLASS FUSE 200ma
1123174,FUSE FUSE 250ma
13PTF,FUSE  13A PLUG TOP E/F1310
16011G,FUSE   1A 10x38mm
1PTF,FUSE   1A PLUG TOP
2PTF,FUSE   2A PLUG TOP E/F02010
34001,FUSE PULLER FOR NH FUSES
3445333,THERMAL FUSE CUT OUT 16A
3PTF,FUSE   3A PLUG TOP E/F0310
420001,FUSE   1A 10x38 quick blow  420001
420008,FUSE   8A 10x38 quick blow  420008
420032,FUSE  32A 10x38mm  420032
420504,FUSE   4A  8.5x31.5mm
420508,FUSE   8A  8.5x31.5
420510,FUSE  10A  8.5x31.5M
422006,FUSE   6A 22x58
422063,FUSE  63A 22x58mm
422080,FUSE  80A 22x58mm  422080
440001,FUSE   1A 10x38 GG
440002,FUSE   2A 10x38mm  440002
440004,FUSE   4A 10x38mm   440004
440006,FUSE   6A 10x38mm  PER 1  440006
420010,FUSE  10A 10x38mm  420010
440016,FUSE  16A 10x38mm  440016
440020,FUSE  20A 10x38mm  440020
440025,FUSE  25A 10x38mm  440025
441006,FUSE   6A 14x51
441010,FUSE  10A 14x51mm
441016,FUSE  16A 14x51mm
441020,FUSE  20A 14x51mm
441032,FUSE  32A 14x51mm
441040,FUSE  40A 14x51mm
441050,FUSE  50A 14x51mm
442010,FUSE  10A 22x58
4420125,FUSE  25A 22x58
442040,FUSE  40A 22x58mm
442050,FUSE  50A 22x58mm
442100,FUSE 100A 22x58mm
442125,FUSE 125A 22x58mm
5020010,Fuse Glass Body 5x20 100mA Quick Blow  5020010
5020800,Fuse Glass Body 5x20 8A Quick Blow  5020800
5021000,Fuse Glass Body 5x20 10A Quick Blow  5021000
5120050,Fuse Glass Body 5x20 500mA Quick Blow  5120050
5120100,Fuse Glass Body 5x20 1A Quick Blow
5120160,Fuse Glass Body 5x20 1.6A Quick Blow
5120200,Fuse Glass Body 5x20 2A Quick Blow
5120315,Fuse Glass Body 5x20 3.15A Quick Blo
5120500,Fuse Glass Body 5x20 5A Quick Blow
5120630,Fuse Glass Body 5x20 6.3A Quick Blow
534894,FUSE GLASS 250ma
534912,FUSE GLASS 750ma
534936,FUSE GLASS   1.25amp
534961,FUSE GLASS   2.5amp
534973,FUSE GLASS   3amp
535000,FUSE GLASS  10amp 6x32mm Q/B
535023,FUSE GLASS  15amp 32mm
5PTF,FUSE   5A PLUG TOP E/F0510
DZ06,FUSE   6A DZ 11   597006
DZ10,FUSE  10A DZ 11  597010
DZ10T,FUSE  10A DZ 11 TRAGE  5970107
DZ16,FUSE  16A DZ 11       597016
DZ16T,FUSE  16A DZ 11 TRAGE
DZ20,FUSE  20A DZ 11  597020
DZ20T,FUSE  20A DZ 11 TRAGE  5970207
DZ25,FUSE  25A DZ 11      597025
DZ35,FUSE  35A DZ 11     598035
DZ35T,FUSE  35A DZ 11 TRAGE
DZ50,FUSE  50A DZ 11       5980507
DZ50T,FUSE  50A DZ 11 TRAGE
DZ63,FUSE  63A DZ 11       5980637
DZ63T,FUSE  63A DZ 11 TRAGE
DZ6T,FUSE   6A DZ 11 TRAGE
FCDZ2,FUSE CAP DZ 11
FCNZ,FUSECAP NEOZED
GR10,DZ2 10A GAUGE RING
GR16,DZ2 16A GAUGE RING
GR20,DZ2 20A GAUGE RING
GR25,DZ2 25A GAUGE RING
GR50,DZ3 50A GAUGE RING
GR6,DZ2  6A GAUGE RING
GR63,DZ3 63A GAUGE RING
LST10,FUSE  10A LST FIT LUCI CUT OUT
LST16,FUSE  16A LST FIT LUCI CUT OUT
LST6,FUSE   6A LST FIT LUCI CUT OUT
NDZ10,NDZ FLINK 10amp
NDZ20,NDZ FLINK 20amp
NH1100,FUSE NH1 100A
NH1125,FUSE NH1 125A
NH1160,FUSE NH1 160A AM
NH1200,FUSE NH1 200A GL
NH1250,FUSE NH1 250A gg TYPE
NH163,FUSE NH1  63A
NH180,FUSE NH1  80A
NH2200,NH 2 200A FUSE
NH2250,NH 2 250A FUSE
NH2300,FUSE NH2 300a
NHOO100,NH00 100 AMP GL FUSE
NHOO125,NH00 125 AMP GL FUSE
NHOO16,NH00  16 AMP
NHOO160,NH00 160 AMP GL FUSE
NHOO25,NH00  25 AMP FUSE
NHOO35,FUSE NH00 35A
NHOO50,FUSE NH00 50A
NHOO63,FUSE NH00 63A GL
NHOO80,NH00  80 AMP GL FUSE
NIT20,NIT FUSE 20 AMP
NIT32,NIT FUSE 32 AMP
NITD16,NIT FUSE 16 AMP
NITD20,NIT FUSE 20 AMP
NITD32,NIT FUSE 20 AMP
NS10,NS FUSE 10 AMP
NS16,NS FUSE 16 AMP
NSD16,FUSE BUSSMANN BS88 16A OFFSET BLADE TAGS
NSD20,FUSE BUSSMANN BS88 20A OFFSET BLADE TAGS
NZ10,FUSE NEOZED 10A
NZ16,FUSE NEOZED 16A
NZ2,FUSE NEOZED  2A
NZ20,FUSE NEOZED 20A
NZ25,FUSE NEOZED 25A
NZ35,FUSE NEOZED 35A
NZ50,FUSE NEOZED 50A
NZ6,FUSE NEOZED  6A
NZ63,FUSE NEOZED 63A
NZ80,NEOZED 80A
TIS100,TIS FUSE 100 AMP
534870,FUSE GLASS 100ma
534948,FUSE GLASS   1.5amp
NIT 4,NIT FUSE  4 AMP
NIT25,NIT FUSE 25 AMP
NS32,NS FUSE 32 AMP
GR35,DZ3 35A GAUGE RING
LST2,FUSE   2A LST FIT LUCI CUT OUT
2021113.125A,FUSE SIBA NH1 125 AMP 690 VOLT
2021213.400A,FUSE SIBA NH2 400 AMP 690 VOLT
2021313.355,FUSE SIBA NH3 355 AMP 690 VOLT
420516,FUSE  16A  8.5x31.5mm
420520,CARTRIDGE FUSE 20A 8.5x31.5mm
425025,FUSE  25A  8.5x31.5mm
441008,FUSE   8A 14x51mm
441025,FUSE  25A 14x51mm
442020,FUSE  20A 22x58
44908,FUSE NH1/NH2 NEUTRAL LINK
535035,FUSE GLASS  20amp
5420315,FUSE GLASS 5x20mm 3.15A SLOBLO  MOTOR RATED TIME DELAY PER 10  5420315
DZ25T,FUSE  25A DZ 11 TRAGE  5970257
NH132,FUSE NH1  32A
NH150,FUSE NH1  50A
NH2100,FUSE NH2 100amp
NH2160,FUSE NH2 160a
NH2400,FUSE NH2 400A AM TYPE
NH3355,FUSE NH3 355A
NIT 6,NIT FUSE  6 AMP
NIT10,NIT FUSE 10 AMP
NIT16,NIT FUSE 16 AMP
TIA10,TIA FUSE 10 AMP
TIA25,TIA FUSE 25 AMP
TIA32,TIA FUSE 32 AMP
TIS40,TIS FUSE  40 AMP
TIS50,TIS FUSE  50 AMP
420006,FUSE 6A 10X38MM PER1 clase gG
5120125,Fuse Glass Body 5x20 1.25A Quick Blow
FCDZ3,FUSE CAP DZ 111
GSKTSW1G,SOCKET 1G 13A SP SWITCHED  SCHNEIDER
GSKTSW2G2,SOCKET 2G 13A SP SWITCHED  SCHNEIDER
GSPUR,UNSWITCHED FUSE OUTLET WITH NE  ON SCHNEIDER
GSW1G2W,SWITCH 1G 2W 10A SCHNEIDER
GSWDPN20AFO,SWITCH 20A DOUBLE POLE WITH  NEON
GSWINT,SWITCH 1G INTERMEDIATE 10A  SCHNEIDER
GSWSPUR,SWITCHED FUSE OUTLET 13A DOUBL  E POLE SCHNEIDER
GSWTPS,FAN ISOLATER SWITCH 6A 3P
GU1062,GET ULTIMATE 6G 2W 10A SW WHIT  E
281404,EATON MANUAL STARTER ENCLOSURE  CI-PKZ01 IP65
GEUR01,EURO PLATE 1 MODULE SCHNEIDER
GSKTCOAX,SOCKET 1G COAXIAL SCHNEIDER
GSKTCOAX2G,SOCKET 2G COAXIAL SCHNEIDER
GSW2G2W,SWITCH 2G 2W 10A SCHNEIDER
GSW3G2W,SWITCH 3G 2W 10A SCHNEIDER
GSW4G2W,SWITCH 4G 2W 10A SCHNEIDER
GTELRJ11,SOCKET TELEPHONE RJ11 SCHNEIDE  R
GTELRJ45,RJ45 SOCKET SCHNEIDER
5,JUNCTION BOX 100x100x50mm IP65  WITH GROMMETS   MARLANVIL (60)
005PL,JUNCTION BOX 100x100x50mm IP66  PLAIN SIDES    MARLANVIL (100)
009PL,JUNCTION BOX 190x140x70mm IP66  MARLANVIL (28)
010PL,JUNCTION BOX 240x190x90mm IP56  MARLANVIL (14)
012PL,JUNCTION BOX 300x220x120mm  IP66 MARLANVIL (7)
014PL,JUNCTION BOX 376x300x120mm  IP66 MARLANVIL (6)
35900,ENCLOSURE PVC 130x75x74mm  LEGRAND
101559,ENCLOSURE 2 ROW 26 MOD C\W EAR  TH & NEUTRAL F&G
1054000,ENCLOSURE METAL 600x600x250mm  C\W BASEPLATE RITTAL IP66
106196,ENCLOSURE 3 ROW 54 MOD NOARK  IP40
122660001,ENCLOSURE IP40 3x12 MODULE ABB
13432,ENCLOSURE 1 ROW 18 MOD IP65 KA  EDRA
13433,ENCLOSURE IP65 24 MODULE C/W HINGED LID KAEDRA (1)
13434,ENCLOSURE KAEDRA IP65 2x18 MODULE
13435,ENCLOSURE IP65 36 MODULE C/W HINGED LID KAEDRA (1)
13436,ENCLOSURE IP65 54 MODULE 3 X 18M KAEDRA
13441,ENCLOSURE IP65 4 MODULE C/W HINGED LID KAEDRA (9)
13442,ENCLOSURE IP65 6 MODULE C/W HINGED LID KAEDRA (7)
13443,ENCLOSURE IP65 8 MODULE C/W HINGED LID KAEDRA (6)
13444,ENCLOSURE IP65 12 MODULE C/W HINGED LID KAEDRA (4)
1350000,ENCLOSURE METAL 500x500x300mm  C\W BASEPLATE RITTAL IP66
13975,ENCLOSURE IP65 3 MODULE C/W HINGED LID KAEDRA (20)
2000001,OBO JUNCTION BOX 90x43x42mmA6 COFFIN BOX OBO (180)
20000016,JUNCTION BOX 75x75x36mm IP55  OBO C\W KNOCK OUT(150)
2001845,OBO JUNCTION BOX 110x110x50mm IP67 C\W TER&GLANDS B9/T (40)
2007045,OBO JUNCTION BOX 90x90x52mm IP55 T40 OBO WITH K\O (80)
2007061,OBO JUNCTION BOX 114x114x57mm IP66 T60 OBO WITH K\O (60)
2007255,OBO JUNCTION BOX 150x116x67mm IP67 T100 OBO PLAIN (40)
2007271,OBO JUNCTION BOX 190x150x77mm IP67 T160 OBO PLAIN (20)
2007287,OBO JUNCTION BOX 240x190x95mm IP67 T250 OBO PLAIN (8)
2007303,OBO JUNCTION BOX 285x201x120mm IP66 PLAIN OBO T350 (5)
54000-107,ARIA ENCLOSURE MTG BRACKET
54064,ARIA ENCLOSURE  600x400x230mm
54064-153,ARIA C/P WITH OPENINGS 600X400  3x18 module
831070,ARIA 64 ENCLOSURE CHASSIS  3x18 module
54086,ARIA ENCLOSURE  800x600x300mm
54086-142,ARIA MOUNTING PLATE  800x600mm
54108-142,ARIA MOUNTING PLATE 1000x800MM
610532,SPARE EARTH NEUTRAL BAR 610295
610636,BOARD FIXO RAIL 1x18 MODULE  C/W DOOR WHITE  CODE 39100
610637,BOARD FIXO RAIL 2x18 MODULE  C/W DOOR WHITE  CODE 39200
610638,BOARD FIXO RAIL 3x18 MODULE  C/W DOOR WHITE  CODE 39300
ABO100,JUNCTION BOX 140x140 C/W  CONNECTERS SPELSBERG (20)
ABO25,JUNCTION BOX 75x75mm C\W 2.5mm  CONNECTORS IP65 SPELSBARG (60)
ABO40,JUNCTION BOX 100x100mm C\W 4mm  CONNECTOR IP65 SPELSBERG (60)
ABO60,JUNCTION BOX 110x110x67mm C\W  6mm CONNECTORS SPELSBERG (24)
ABS100100HG,ENCLOSURE 130x 80x100mm IP65  FIBOX
ABS100125HG,ENCLOSURE 130x 80x125 GREY IP6  6
ABS10075G,ENCLOSURE 130x 80x 75 GREY IP6  6
ABS125100HG,ENCLOSURE 130x130x100 GREY IP6  6   ABS125100HG
ABS125125HG,ENCLOSURE 125x125x125 GREY  ABS125125HG
ABS12575HG,ENCLOSURE 125x125x 75 GREY IP6  6  ABS12575HG
ABS150100HG,ENCLOSURE 180x130x100mm IP65  FIBOX  ABS150100HG
ABS150125HG,ENCLOSURE 150x175x125 GREY IP6  6  ABS150125HG
ABS150150HG,ENCLOSURE 180x130x150 GREYIP66
ABS15075G,ENCLOSURE 180x130x 75 GREY  ABS15075G
ABS15075HT,BOX 180x130x75mm CLEAR LID  FIBOX IP67  ABS15075HT
ABS175100G,ENCLOSURE 180x180x100 GREY
ABS175125HG,ENCLOSURE 180x180x125mm GREY  ABS175125HG
ABS175150HG,ENCLOSURE 180x180x150 GREY  ABS175150HG
ABS200100HG,ENCLOSURE 255x180x100 GREY  ABS200100HG
ABS200150HG,ENCLOSURE 255x180x150mm GREY  ABS200150HG
ABS20075HG,ENCLOSURE 250x175x 75 GREY LID
ABSH95G,FIBOX ENCLOSURE 170x140x95  ABSH95G
AT2280,JUNCTION BOX WITH 3x20mm GLAND IP65 95x95x45mm ATTEMA
AT2290,JUNCTION BOX WITH 3x20mm GLAND IP65 120x95x45mm ATTEMA
AT2500,JUNCTION BOX WITH 3x25mm GLAND  IP65 95x95x45mm ATTEMA
AX25373000,ENCLOSURE PADLOCKABLE HANDLE F  PR RITTAL ENCLOSURE
BR152125,DISTRIBUTION TERMINAL 2 X 15  HOLES
BR154125,DISTRIBUTION TERMINAL 4 X 15  HOLES 125A
CB20,JUNCTION BOX CHOCBOX
CT2,SAIP MCB ENCLOSURE 1\2 MODULE 90.02
CT4,SAIP MCB ENCLOSURE 3\4 MODULE 90.04
CT8,MCB ENCLOSURE 8 Module 90.08  215 x 165 x 89mm
DM9025,JUNCTION BOX 88x88x53mm HENSEL  IP65
DRYBOX,WEATHERPROOF CONNECTION BOX
EB12,EARTH BAR DIN RAIL MNTD 16mm  (PE12) 12 WAY
FL221B413A,ENCLOSURE PLASTIC 650x500x250m  m WITH BACKPLATE IP66 HAGER
GD106N,ENCLOSURE 6 MODULE HAGER
GD110A,ENCLOSURE 10 MODULE HAGER  GD110N
J2821,JUNCTION BOX 160x115x75 IP55  TRANSPARENT LID
KSK100,JUNCTION BOX 100x100mm KOPOS  IP66
KSK125,JUNCTION BOX 125x125x74mm IP66  KOPOS
KSK175,JUNCTION BOX 175x125x87mm IP66  KOPOS
KSK80,JUNCTION BOX 80x80mm KOPOS  IP66
LS00862,ABB ENCLOSURE 220X170X150  IP55
MC12,ENCLOSURE 1 ROW 12 MOD METAL
MC24,ENCLOSURE 2 ROW 24 MOD METAL  (MC24/2)
MC36,ENCLOSURE 36MOD METAL  MC36/3
MC81,ENCLOSURE 1 ROW  8 MOD METAL  MC8/1
NSYS3D10830P,ENCLOSURE METAL 1000x800x300  IP66 SCHNEIDER C\W BASPLATE
NSYS3D3215P,ENCLOSURE METAL  300x200x150mm  IP66 SAREL C/W BACKPLATE
NSYS3D3315P,ENCLOSURE METAL  300x300x150mm  IP66 C\W BACKPLATE SCHNEIDER
NSYS3D4320P,ENCLOSURE METAL  400x300x200mm  IP66 SAREL C/W BACKPLATE
NSYS3D4420P,ENCLOSURE METAL  400x400x200mm  IP66 SAREL C/W BACKPLATE
NSYS3D5420P,ENCLOSURE METAL  500x400x200mm  IP66 SAREL C/W BACKPLATE
NSYS3D6420P,ENCLOSURE METAL  600x400x200mm  IP66 SAREL C/W BACKPLATE
NSYS3D7525P,ENCLOSURE METAL  700x500x250mm  IP66 SAREL C/W BACKPLATE
NSYS3D8630P,ENCLOSURE METAL  800x600x300mm  IP66 SAREL C/W BACKPLATE
PP3001,ENCLOSURE PLASTIC 200x300x130 IP65 & BASE PLATE PLASTIM
PP3002,ENCLOSURE PLASTIC 250x350x150 IP65 & BASE PLATE PLASTIM
PP3005,ENCLOSURE PLASTIC 300x400x220 IP65 & BASE PLATE PLASTIM
PP3007,ENCLOSURE PLASTIC 400x500x240 IP65 & BASE PLATE PLASTIM
PP3008,ENCLOSURE PLASTIC 400x600x200 IP65 & BASE PLATE PLASTIM
PP3010,ENCLOSURE PLASTIC 500x700x250 IP65 & BASE PLATE PLASTIM
PP3018,ENCLOSURE PLASTIC 400x600x200 IP65 CLEAR DOOR & BASEPLATE
PP3020,ENCLOSURE PLASTIC 700x500x250 IP65 CLEAR DOOR & BASEPLATE
PP3021,ENCLOSURE PLASTIC 600x800x260 IP65 & BASE PLATE PLASTIM
PP3022,ENCLOSURE PLASTIC 800x600x260 IP65 CLEAR DOOR & BASEPLATE
PPA05S,KEY LOCK WITH KEY FOR PP ENCLO  SURE
TPS401,DY BOX WITH 13A 4G SOCKET IP55  TIMEGUARD
101499,ENCLOSURE 1 ROW 18 MOD NOARK  IP40
101501,ENCLOSURE 2 ROW 36 MOD NOARK  IP40
101577,NEUTRAL BAR  2x15 FOR NOARK  ENCLOSURE
610285,BOARD FIXO RAIL 2x18 MODULE C\  W CLEAR DOOR GE No 610285
BRES325,ENCLOSURE PINAZO 300x250x140m  m IP65 BASEPLATE SEPARATE
BRES43,ENCLOSURE PINAZO 400x300x200m  m IP65 BASEPLATE SEPARATE
BRES86,ENCLOSURE PINAZO 800x600x300m  m IP65 BASEPLATE SEPARATE
DEKSB003,JUNCTION BOX SCREWLSS TERMINAL  CABLE CLAMP LOCKING CLIP DEBOX
NSYS3D32515P,ENCLOSURE METAL  300x250x150mm  IP66 SAREL C/W BACKPLATE
PBP43,BASE PLATE POLYESTER 400x300mm
ABSB65G,ENCLOSURE 110x 80x 65 GREY IP66  ABSB65G
FAM39168,ENCLOSURE PLASTIC 600x800x265  IP65 & BASE PLATE
WM2315M,ENCLOSURE SHEAT STEEL IP66  300x200x150mm WEPAN
WM3315M,ENCLOSURE SHEAT STEEL IP66  300x300x150mm WEPAN
WM342M,ENCLSOURE SHEAT STEEL IP66  400x300x200mm WEPAN
WM442M,ENCLOSURE SHEAT STEEL IP66  400x400x200mm WEPAN
WM452M,ENCLOSURE SHEAT STEEL IP66  500x400x200mm WEPAN
WM462M,ENCLOSURE SHEAT STEEL IP66  600x400x200mm WEPAN
WM683M,ENCLOSURE SHEAT STEEL IP66  800x600x300mm WEPAN
13450,SCHENDIER TERMINAL BLOCK FOR KAEDRA ENCLOSURE
1360500,ENCLOSURE 600x600x350mm RITTAL  MILD STEEL IP65
610275,BOARD FIXO RAIL 1x18 MODULE C\  W DOOR GE No 610275
ABS17575HG,ENCLOSURE 180x180x100mm IP65  FIBOX  ABS17575HG
PBP54,BASE PLATE POLYESTER 500x400mm
PBP65,BASE PLATE POLYESTER 600x500mm
PBP86,BASE PLATE POLYESTER 800x600mm
SM2384010,EMERGENCY STOP BOX S/S IP66  RITTAL
ST4520,ENCLOSURE C/W PLATE 500x400x20  0mm STEEL
ST607635,ENCLOSURE C/W PLATE 600x750x35  0mm STEEL RITTAL (1376500)
WM5725M,ENCLOSURE SHEAT STEEL 700x500x250mm WITH MOUNTING PLATE IP66 WEPAN
GD113H,HAGER GAMMA 1 ROW 13MOD  ENCLOSURE EMPTY    ** DOOR SOLD SEPERATLY**
GP113P,HAGER GAMMA 1 ROW 13 MOD  ENCLOSURE DOOR
54064-163,ARIA 64 ENCLOSURE CHASSIS
109814,ENCLOSURE 2 ROW 48 MODULE WITH EARTH & NEUTRAL METAL NOARK
109815,ENCLOSURE 3 ROW 72 MODULE WITH EARTH & NEUTRAL METAL NOARK
AX1054000,ENCLOSURE METAL IP66 600x600x250mm RITTAL
GD213H,HAGER GAMMA 2 ROW 13MOD  ENCLOSURE EMPTY    ** DOOR SOLD SEPARATELY**
GP213P,HAGER GAMMA 2 ROW DOOR
GS213D,HAGER GAMMA 2 ROW   BACK PLATE
PC20075HG,ENCLOSURE 250x175x 75 GREY LID
PC150150HG,ENCLOSURE 180x130x150 GREYIP66
610639,BOARD FIXO RAIL 4x18 MODULE  C/W DOOR WHITE  CODE 39300
PC10075HG,ENCLOSURE 125 x 75 x 75 GREY IP66
13437,ENCLOSURE IP65 72 MODULE 4 X 18M KAEDRA
UF1.5,CAPACITOR   1.5uF WITH STUD C/W CAP
UF10,CAPACITOR  10uF WITH CAP
UF100,CAPACITOR 100uF WITH CAP
UF100125,CAPACITOR 100-125uF
UF12.5,CAPACITOR  12.5uF WITH STUD C/W CAP
UF125160,CAPACITOR 125-160uF
UF14,CAPACITOR  14uF WITH STUD C/W CAP
UF15,CAPACITOR  15uF WITH STUD C/W CAP
UF16,CAPACITOR  16uF WITH STUD C/W CAP
UF160200,CAPACITOR 160-200uF
UF161193,CAPACITOR 161-193uF
UF2.5,CAPACITOR   2.5uF WITH STUD C/W CAP
UF20,CAPACITOR  20uF WITH CAP
UF200250,CAPACITOR 200-250uF
UF216260,CAPACITOR 216-260uF START
UF25,CAPACITOR  25uF WITH CAP
